,item,x,y
0,Russia,-48.0,187.0
1,Mongolia,40.0,89.0
2,China,50.0,22.0
3,North Korea,181.0,54.0
4,South Korea,198.0,34.0
5,Japan,261.0,27.0
6,Philippines,208.0,-128.0
7,Indonesia,152.0,-202.0
8,Malaysia,94.0,-171.0
9,Singapore,107.0,-187.0
10,India,-59.0,-64.0
11,Sri Lanka,-25.0,-153.0
12,Thailand,81.0,-105.0
13,Laos,87.0,-76.0
14,Cambodia,104.0,-122.0
15,Vietnam,127.0,-102.0
16,Myanmar,48.0,-65.0
17,Bhutan,16.0,-26.0
18,Nepal,-25.0,-17.0
19,Bangladesh,18.0,-52.0
20,Iran,-196.0,2.0
21,Afghanistan,-138.0,13.0
22,Pakistan,-119.0,-18.0
23,Turkmenistan,-182.0,51.0
24,Uzbakistan,-183.0,73.0
25,Kazakhstan,-150.0,109.0
26,Tajikistan,-116.0,42.0
27,Kyrgyzstan,-91.0,63.0
28,Yemen,-223.0,-101.0
29,Oman,-166.0,-67.0
30,Saudi Arabia,-247.0,-55.0
31,Bahrain,-202.0,-34.0
32,Qatar,-198.0,-41.0
33,United Arab Emirates,-180.0,-52.0
34,Kuwait,-223.0,-13.0
35,Iraq,-251.0,11.0
36,Turkiye,-317.0,46.0
37,Armenia,-250.0,53.0
38,Azerbaijan,-231.0,53.0
39,Georgia,-263.0,70.0
40,Syria,-275.0,22.0
41,Jordan,-280.0,-1.0
42,Palestine,-293.0,-3.0
43,Brunei,168.0,-167.0
44,Taiwan,188.0,-49.0
